question,option0,option1,option2,option3,correctAnswer,level,audio
ප්‍රංශ සවාරිය සඳහන් කරන්නේ:,බයිසිකල් තරඟයක්,මෝටර් රථ ධාවන තරඟයක්,මැරතන් තරඟයක්,අශ්ව තරඟයක්,0,4,
පහත සඳහන් ආහාර ද්‍රව්‍යවලින් ලෙලි සහ පලතුරු සහ වෙන වෙනම පිසූ පලතුරු සමඟ ඇත්තේ කුමක්ද?,අළු කෙසෙල්,අඹ,ඇඹරැල්ල,අර්තාපල්,0,1,
මෙහි රොබින් හුඩ් සමඟ කිසිදු සම්බන්ධයක් බෙදා නොගන්නේ කවුද?,විල් ස්කාර්ලට්,පළමු වන රිචඩ් රජු,නොටිංහැම්හි ෂෙරිෆ්,ජුලියස් සීසර්,3,2,
මේ අතරින් කුරුඳු ගසේ තෙල් නිස්සාරණය කිරීමේදී භාවිත කළ නොහැකි කොටස කුමක්ද?,කොළ,අරටුව,පොත්ත,මල්,1,3,
"මෙම ඛනිජ වලින්, මිනිස් සිරුරේ ක්‍රියාකාරිත්වය සඳහා තීරණාත්මක නොවේද?",පොස්පරස්,මැග්නීසියම්,ඊයම්,පොටෑසියම්,2,4,
දන්නේ සිංහලුන්ගේ ශාස්ත්‍ර ආගම් මාන ලෙස - ඉතින් ප්‍රීති වෙන්න යවමු එහෙ තුම වේතේ. මෙම උපුටාගැනීමේ සඳහන් පරිදි සොයන්නේ කාවද?,ශ්‍රී වික්‍රම රාජසිංහ රජතුමා,වෙස්සන්තර රජතුමා,සිරිසඟබෝ රජතුමා,දුටුගැමුණු රජතුමා,0,5,
"වැව්, අමුණු, සොරොව් ආරක්‍ෂාවට සම්බන්ධ යැයි ගැමියන් විශ්වාස කරන්නේ කුමන දෙවියාද?",අයියනායක දෙවියන්,කඩවර දෙවියන්,දැඩිමුණ්ඩ දෙවියන්,පුල්ලෙයාර්,1,6,
මෙහි රුසියානු කතුවරයෙකුගේ සාහිත්‍ය කෘතියක් නොවන්නේ කුමක්ද?,මහල්ලා සහ මුහුද,අපරාධය සහ දඬුවම,යුද්ධය සහ සාමය,බල්ලා කැටුව යන කාන්තාව,0,7,
රෝමය ගිනිගනිද්දී වීණා ගැසූ නීරෝ කවුද?,රෝම අධිරාජ්යයා,රෝම වහලෙක්,රෝම සංගීතඥයෙක්,රෝම දාර්ශනිකයෙක්,0,1,
"සිංහල ජන භාෂාවෙන් ""සකලයන් හම්බනාව"" යන්නෙන් අදහස් වන්නේ:",කුරුල්ලන් එළවා දැමීම,ඌරන් පලවා හැරීම,අලි ඇතුන් එළවා දැමීම,කෘමීන් එළවා දැමීම,0,4,
"සම්ප්‍රදායිකව, හිස්වැසුම් පැළඳීමට දන්නා මෙම ආගමික කණ්ඩායම් මොනවාද?",ජෛන,යුදෙව්වන්,සික් ජාතිකයන්,බහායි,2,3,
තලගොයා සහ කබරගොයා සම්බන්ධයෙන් මෙහි ඇති සාවද්‍ය ප්‍රකාශය කුමක්ද?,දෙදෙනාම මාංශ භක්ෂකයෝ,දෙදෙනම උරගයෝ,දෙදෙනම ජලයෙන් ජිවත් වෙති,දෙදෙනාම අචලතාපී වේ,2,4,
මෙහි ඉතිරි ඒවා සමඟ නොගැලපෙන කුමක්ද?,ගැහැණු ළමයි,හතුරු හිතක්,පිරුණු හදක්,හිඟන කොල්ලා,3,5,
"ඉන්දියානු සිරිත් විරිත්වලට අනුව, ""දෝසායි"" සාමාන්‍යයෙන් යුගල කරන්නේ කුමක් ද?",සාම්බාර්,ආනම,රසම්,පනීර්,0,1,
"අඩි 60ක් දිග ලණු කැබැල්ලකින් සමපාර්ශ්වික ත්‍රිකෝණයක් සාදා ඇත. එසේනම් ත්‍රිකෝණයේ පැත්තේ දිගට සමාන පැත්තක දිගකින් යුත් ෂඩාස්‍රයක් සෑදීමට නම්, මෙම කඹය කොපමණ කාලයක් පැවතිය යුතුද?",අඩි 20 යි,අඩි 40 කි,අඩි 60 යි,අඩි 80 යි,2,2,
මෙම මෘදුකාංග වලින් චිත්‍ර ඇඳීම සඳහා භාවිතා කළ නොහැකි මෘදුකාංග මොනවාද?,Microsoft Paint,Adobe Photoshop,CorelDRAW,Windows Notepad,3,3,
"ඒකකය ""බාර්"" භාවිතයෙන් මනිනු ලබන්නේ කුමක්ද?",බලය,විද්යුත් ආරෝපණය,පීඩනය,සංඛ්යාතය,2,4,
පහත ඒවායින් ගුණදාස කපුගේ විසින් රචනා කර ගායනා කරන ලද ගීතය කුමක්ද?,බෝ මලුවේ මල් සුවඳට පැටලී,නිර්වාණ ස්වර්ණ ද්වාරයෙන්,මගේ රටට දළදා හිමි සරණයි,පිහිටක් නැති සරණක් නැති,3,5,
පන්දුවේ පැත්තක් ඔප දැමීමෙන් ක්‍රිකට් ක්‍රීඩකයන් සාමාන්‍යයෙන් බලාපොරොත්තු වන්නේ කුමක්ද?,වැඩි පිම්මක් ජනනය කිරීමට,වැඩි දෝලනයක් උත්පාදනය කිරීමට,වැඩි භ්‍රමණයක් ජනනය කිරීමට,පන්දුව වේගය අඩු කිරීමට,1,6,
ශ්‍රී ලංකාවේ පාර්ලිමේන්තු මන්ත්‍රීවරයෙකු වීමට නම්:,මහ මැතිවරණයකට තරග කළ යුතුයි,යමෙක් ද්විත්ව පුරවැසියෙකු නොවිය යුතුය,ඡන්ද දායකයෙකු වීමට යමෙකු සුදුසුකම් ලබා තිබිය යුතුය,යමෙක් දේශපාලන පක්ෂයක සාමාජිකයෙකු විය යුතුය,2,7,
ඔස්කාර් ප්‍රතිමාව නිරූපණය කරන්නේ:,කඩුවක් අල්ලාගෙන සිටින නයිට්වරයෙක්,ලෝක ගෝලයක් අතැති කාන්තාවක්,නර්තනයේ යෙදෙන කාන්තාවක්,මිටියක් අල්ලාගෙන සිටින මිනිසෙක්,0,8,
කොපර කොපර පිපිඤ්ඤා - පස්ස බලුවොත් දෙසංයා... මේ සිංදු කියද්දි ළමයි මොනවද සෙල්ලම් කරන්නේ?,"""එළුවන් කෑම""","""ලෙන්සු හංගීම""","""චක්ගුඩු පැනීම""","""මෙවර කෙළිය""",1,1,
"කළුනික සොයනව වාගේ. මෙහි ""කළුනික"" යන්නෙන් අදහස් වන්නේ:",ශාක වර්ගයක්,මැණික් ගල් වර්ගයකි,පොකුණක්,සතෙකු,0,2,
"චතුරස්‍රයක මතුපිට වර්ගඵලය සහ පරිමිතිය යන දෙකම සමාන නම්, එම අගය කුමක් විය හැකිද?",16,25,36,64,0,3,
රසායනික ප්‍රතික්‍රියාවක් සිදු නොවන්නේ මින් කුමන අවස්ථා වලදීද?,ලෝහ මලකඩ වන විට,කඩදාසි පිච්චෙන විට,ජලය අයිස් බවට පත් වන විට,ආහාර දිරවන විට,2,4,
බදුළු යන්න මහා පාරක් තනන්න - වතුර බොන ගංගාවක් ගලන්න - කවිලි කන්න කඩ වීදිය තිබ්බා...,"""සාදු සාදු මුතියංගනා පෙනෙන්නේ""","""සාදු සාදු කිරිවෙහෙරත් පෙනෙන්න""","""සාදු සාදු සෝමවතී පෙනෙන්නා""","""සාදු සාදු රන්මලි සෑ පෙනෙන්නා""",0,5,
"මෙහි ""The Begger in Sri Lanka"" සමාජ විද්‍යාත්මක අධ්‍යයනය ලිව්වේ කවුද?",මහාචාර්ය නන්දදාස කෝදාගොඩ,මහාචාර්ය නන්දසේන රත්නපාල,මහාචාර්ය සිරි හෙට්ටිගේ,මහාචාර්ය ජයදේව උයංගොඩ,1,6,
මරාල බද්දෙහි සඳහන් වන්නේ:,පුද්ගලයෙකු මිය ගිය විට ගෙවිය යුතු බද්දක්,දරුවෙකුගේ වැඩිවිය පැමිණීමේදී ගෙවිය යුතු බද්දක්,නව වැරන්ඩාවක් ඉදිකරන විට ගෙවිය යුතු බද්දක්,තම ඉඩමේ ඇති පොල් ගස් සඳහා ගෙවිය යුතු බද්දකි.,0,7,
මුළු භූමි ප්‍රමාණයෙන් 60% ක වනාන්තර ආවරණයක් තිබිය යුතු බව මෙම කුමන රටක ව්‍යවස්ථාවේ ද?,ඉන්දියාව,නේපාලය,භූතානය,බංග්ලාදේශය,2,8,
"යමෙක් කරවිල නිශ්චිත ප්‍රමාණයක් කැබලි තුනකටද, කරවිල දෙකටද කපා දැමුවහොත්, කපා දැමූ මුළු කැබලි සංඛ්‍යාවට පිළිතුරු දිය නොහැක්කේ කුමන ඒවාද?",කරවිල 9 ක් සහ කොමඩු 6 ක්,කරවිල 12 ක් සහ කොමඩු 10 ක්,කරවිල 18 ක් සහ කොමඩු 14 ක්,කරවිල 22 ක් සහ කොමඩු 18 ක්,3,1,
පාරජම්බුල කිරණ ආධාරයෙන් මිනිස් සිරුර තුළ ස්වභාවිකව නිර්මාණය වන විටමින් මොනවාද?,A,B,C,D,3,2,
ඔහු රට පුරා පුරෝගාමී වූ කොස් ව්‍යාපාරයේ ව්‍යාපාරය සඳහා ප්‍රසිද්ධ වූ දානපතියෙක් කවුද?,ආචාර්ය එස්. ඒ. වික්රමසිංහ,ආතර් වී. ඩයස්,විජයනන්ද දහනයක,ඩඩ්ලි සේනානායක,1,3,
The Vendor of Sweets කෘතියේ රචකයා කවුද?,ආර්. කේ. නාරායන්,අරුන්දතී රෝයි,රබින්ද්රනාත් ටගෝර්,අරවින්ඩ් ඇඩිගා,0,4,
මෙම පේළිය අසන්නට ලැබෙන්නේ කුමන වේදිකා නාට්‍යයකද?,තලමල පිපිලා,මහාසාර,අන්දරෙලා,රජගහේ මැදගම,2,5,
අනෙක් කෑලි උඩින් පැනීමේ හැකියාව ඇති එකම චෙස් කෑල්ල කුමක්ද?,රජු,රැජින,බිෂොප්,නයිට්වරයා,3,6,
"ඔබ ප්‍රමාණවත් තරම් විශාල බොරුවක් කියමින් එය නැවත නැවත පැවසුවහොත්, අවසානයේදී මිනිසුන් එය විශ්වාස කරනු ඇත. මෙය උපුටා ගැනීමකි :?",ජෝසප් ගොබෙල්ස්,ජෝශප් ස්ටාලින්,සදාම් හුසේන්,ඉඩි අමීන්,0,7,
"මෙම පේළි අතර, කවියේ වැරදි දේ කුමක්ද?","""වෙල් යායක ගොන් බානක් කකා වුනි""","""ඉන් එක ගොනෙක් වලිගය නැතිව වැනි වැනි""","""වලිගය නැති ගෝනා මැස්සන්ට බැට දුනි""","""දුප්පත්කමත් වලිගය නැති ගොනා වැනී""",2,1,
මෙහි ක්‍රිකට් ක්‍රීඩකයෙකුගේ නම පදනම් කරගත් පිතිකරණ විලාසය කුමක්ද?,හූක් ෂොට්,ඩිල්-ස්කූප්,රිවර්ස්-ස්කූප්,පුල් ෂොට්,1,2,
මේ අතරින් සුළඟින් විසිරී නොයන්නේ කුමක්ද?,රබර්,ගම්මාලු,හොර,වරා,0,3,
දාහට අරන් සීයට දුන් විට සිදු වූ මුළු අලාභය 18000 නම් විකුණූ භාණ්ඩ සංඛ්‍යාව කොපමණද,10,15,20,25,2,4,
ශාරුක් ඛාන් රඟපාන චිත්‍රපටයක ලතා මංගේෂ්කාර් විසින් ගායනා කරන ලද පසුබිම් ගායනය කුමක්ද?,තෙරේ ලියේ - වීර්-සාරා,ජියා ජලේ - දිල් සේ,තුජෙ දේකා තෝ යේ - දිල්වාලේ දුල්හානියා ලේ ජායෙගේ,දිදී තේරා දේවර් දීවානා - හම් ආප්කේ හේන් කෝන්,3,5,
මිට මෙළවූ අතක හැඩය ගන්නා කඳු වැටිය කුමක්ද?,දුම්බර කඳු වැටිය,නමුණුකුල කඳුවැටිය,සප්ත-කන්යා කඳුවැටිය,අලගල්ල කඳු වැටිය,0,6,
මේ පුද්ගලයන් අතරින් වේදිකා නාට්‍යයක් රස විඳිමින් සිටියදී ඝාතනයට ලක්වූයේ කවුරුන්ද?,මාර්ටින් ලූතර් කිං,ජෝන් එෆ්. කෙනඩි,ඒබ්‍රහම් ලින්කන්,මහත්මා ගාන්ධි,2,7,
"මෙම යුගල අතර, රට සහ ඒවාට අදාළ මායිම් මුහුද සම්බන්ධයෙන් වැරදි වන්නේ කුමක්ද?",චීනය - කහ මුහුද,ඉන්දියාව - අරාබි මුහුද,ඊජිප්තුව - රතු මුහුද,ජපානය - ජාවා මුහුද,3,8,
ඊජිප්තුවේ රැජිනක් නොවූයේ කවුද?,ක්ලියෝපැට්රා,හට්ෂෙප්සුට්,නෙෆර්ටිටි,ආටෙමිස්,3,9,
"පහත දැක්වෙන ඒවායින්, ""සිරිපාල සහ රන්-මැණිකා"" චිත්‍රපටයේ දක්නට ලැබෙන කතාවට සමාන කතා වස්තුවක් බෙදාගන්නා චිත්‍රපටය කුමක්ද?",පොඩි විජේ,යකඩයා,මරුවා සමග වාසේ,හාරලක්ෂය,2,10,
ශ්‍රී ලංකාව බ්‍රිතාන්‍යයන් විසින් සම්පූර්ණයෙන්ම යටත් කර ගන්නා ලද අවස්ථාවේ බ්‍රිතාන්‍යයේ රජු කවුද?,දෙවන ජෝර්ජ් රජ,ජෝර්ජ් රජ III,වික්ටෝරියා රැජින,හයවන එඩ්වඩ් රජු,1,11,
ශ්‍රී ජයවර්ධනපුර කෝට්ටේ ශ්‍රී ලංකාවේ අගනුවර ලෙස නිල වශයෙන් ප්‍රකාශයට පත් කළ වර්ෂය කුමක්ද?,1948,1977,1982,1985,3,12,
මේ රටවල් අතුරින් දැනට 2000 වසරේ තිබූ ප්‍රමාණයට වඩා අඩු භූමි ප්‍රමාණයකට හිමිකම් කියන්නේ කුමක්ද?,කසකස්තානය,ස්විට්සර්ලන්තය,සුඩානය,සිම්බාබ්වේ,2,12,
මහවැලි ගඟෙන් පසු ශ්‍රී ලංකාවේ දෙවන දිගම ගංගාව කුමක්ද?,කැලණි ගඟ,කළු ගඟ,මල්වතු ඔය,කලා ඔය,2,13,
මේවායින් කුළුබඩුවක් මිස බීජයක් නොවන්නේ කුමක්ද?,සාදික්කා,කරාබු නැටි,ගම්මිරිස්,කොත්තමල්ලි,1,1,
පහත සඳහන් අය අතරින් Ice-Age චිත්‍රපටවල චරිතයක් නොවන්නේ කවුද?,මෑනි,සිඩ්,ඩියේගෝ,ඇලෙක්ස්,3,2,
එක් පඳුරෙන් ලී සායක් කපා ගෙන - එක උස ඇති සැදෙනක් තෝර ගෙන ගුරුන් ඈතට දී ලී බැදව ගෙන. මෙම උධෘතයේ පෙනෙන පරිදි ඔවුන් සූදානම් වන්නේ කුමක් සඳහාද?,කොට්ට-පොර සඳහා,කනා-මුට්ටි සඳහා,ලී කෙලි සඳහා,ලිස්සන ගස නැගීම සඳහා,2,3,
"සාමාන්‍යයෙන් ""පුල්ලෙයාර්"" ලෙස පොදු ජනයා හඳුන්වන්නේ කාවද?",ගනේෂ,පත්තිනි,ස්කන්ධ,විෂ්ණු,0,4,
කටවත් බෑ පරදන්න නම් - වීරයක් හිත ළඟ ඇත්තම්. මෙම ගීතය කුමන චිත්‍රපටයකින්ද?,ඒ ලෙවල්,තාල,තාල.,විෂම භාග,2,5,
වර්ග මීටර් වලින් අක්කරයක් ආසන්න වශයෙන් කොපමණ වේද?,4000,4047,4058,4446,1,6,
මේ අතරින් හම්බන්තොට සහ මන්නාරම ප්‍රදේශවල බහුලව දැකිය හැකි ශාක වර්ග මොනවාද?,"දළුක්, අන්දර, එරමිණිය","හොර, ගොඩපර, නා","දඹ, කීන, මීවන","බුරුත, පලු, හල්මිල්ල",0,7,
මේ අතරින් සිමෙන්ති නිෂ්පාදනයේදී භාවිතා නොකරන කුමක්ද?,හුණුගල්,ජිප්සම්,ඉල්මනයිට්,ඩොලමයිට්,2,8,
"""................ඉන්නකොට පොල්ල නෑ. පොල්ල තියන කොට.................නෑ."" මේ හිස්තැනට වඩාත් ගැලපෙන සිංහල වචනය කුමක්ද?","""පොරව""","""බල්ලා""","""ගමරාළ""","""වංගෙඩිය""",1,1,
හෙල් මළු ක්‍රමය භාවිතා කරන බව කෙනෙකුට පෙනෙන්නේ කොහේද?,දුම්බර කුඹුරුවල,මාතර කුඹුරුවල,ගල් ඔයේ,මන්නාරම වගුරු බිම්වල,0,2,
දළදා පෙරහැරේ දළදා පෙරහැරේ හස්තියෙකු පිට හෙල්ලයක් උසුලන්නේ කවුද?,කාරිය-කරවන රාල,පෙරමුණේ රාල,ගජනායක නිලමේ,නැකැත් මොහොට්ටාල,2,3,
ගුවර්නිකා යනු කුමක්ද?,ලියෝ ටෝල්ස්ටෝයිගේ පොතක්,පැබ්ලෝ පිකාසෝගේ සිතුවමක්,ෂා-ජහාන්ගේ බිරිඳ,බර්ටෝල්ට් බ්‍රෙෂ්ට්ගේ චරිතයක්,1,4,
"""දැන් මගේ අතීතය ඔබය - මගෙ වර්තමානය ඔබය - මගේ උත්තරීතර අනාගතය ද ඔබය"". මෙසේ කීවේ කවු ද?",මාලනී බුලත්සිංහල,ප්‍රදීපා ධර්මදාස,චන්ද්‍රලේඛා පෙරේරා,නන්දා මාලනී,3,5,
පහත සඳහන් දෑ අතරින් මිනිස් කනෙහි කාර්යය කුමක්ද?,ශරීරයේ සමතුලිතතාවය පවත්වා ගැනීම,ශ්වසන නියාමනය,ශරීරයේ උෂ්ණත්වය පවත්වා ගැනීම,හදිසි අවස්ථාවකට ශරීරය සූදානම් කිරීම,0,6,
සමනලයක් වගේ පා වෙලා මී මැස්සෙක් වගේ රිදෙන්න පහර දෙන්න. කවුද මේක කිව්වේ?,මොහොමඩ් අලි,බෲස් ලී,ජෙට් ලී,ඉප් මෑන්,0,7,
එකිනෙකා සමඟ නොගැලපෙන යුගලය කුමක්ද?,වංශපුර දවගේ ඩේවිඩ් - ගොංගාලේගොඩ බණ්ඩා,වීර හන්නදිගේ ද සිල්වා - පුරන් අප්පු,දොන් ඩේවිඩ් හේවාවිතාරණ - අනගාරික ධර්මපාල,යුස්ටේස් රෙජිනෝල්ඩ් ද සිල්වා - උතවන්කන්දේ සරදියල්,3,8,
එක්දින තරගයකදී කණ්ඩායමක් ලබාගත් අඩුම ලකුණු සංඛ්‍යාව වාර්තා කරමින් ශ්‍රී ලංකාවෙන් දැවී ගිය මේ අතරින් කණ්ඩායම කුමක්ද?,බංග්ලාදේශය,සිම්බාබ්වේ,ඇෆ්ගනිස්ථානය,කැනඩාව,1,11,
මෙම ලේඛකයන් අතරින් ඔහුට පිරිනැමෙන නොබෙල් ත්‍යාගය පිළි නොගැනීමට තෝරා ගත්තේ කවුද?,ජීන් පෝල් සාත්‍රේ,අර්නස්ට් හෙම්මිංවේ,පැබ්ලෝ නීරුඩා,සල්මාන් රුෂ්ඩි,0,11,
මේ අතරින් ලේ නොබොන සතා කවුද?,කූඩැල්ලන්,මයිටාවන්,කිනිතුල්ලන්,ඇඳ මකුණන්,1,1,
මෙම සාම්ප්‍රදායික රටා අතරින් මුලින්ම උගන්වා ඇත්තේ සිංහල ලලිත කලාව ප්‍රගුණ කරන ආධුනිකයෙකුට යැයි පොදුවේ ප්‍රකට වන්නේ කුමක්ද?,"""ගල් බින්දුව""","""දෙපට ලණුව""","""වක දෙක""","""අරිම්ඹුව""",2,2,
මේ අතරින් මයිකල් ජැක්සන් ගායනා නොකළ ගීතය කුමක්ද?,Beat it,Billie Jean,Heal the World,Hello,3,3,
ඉන්දියාවේ සිට ශ්‍රී ලංකාවට පැමිණි පසු රජු බවට පත් වූයේ මේ අය අතරින් කවුරුන්ද?,පළමුවන විජයබාහු රජු,නිශ්ශංකමල්ල රජු,පළමුවන වික්‍රම්බාහු රජු,පළමු විමලධර්මසූරිය රජු,1,4,
එස්.මහින්ද හාමුදුරුවන්ගේ මේ කවියේ අන්තිම පේලිය මොකක්ද?,"""මාකදුරින් ගොඩ බට දා""","""තවුසෙකු සේ ඈඳ පැළඳා""","""මඟුලක් වී ලක මුළු දා""","""පඬුවස්දෙව් මහ නිරිඳා""",2,5,
"පහත සඳහන් කුමන ශාක පද්ධතිය තුළ කෙනෙකුට කරු මුල්, කයිරු මුල් සහ වායුධර මුල් තුනම සොයාගත හැකිද?",ශුෂ්ක ශාක,කඳුකර ශාක,කඩොලාන ශාක,අපිශාක,2,6,
මේ අතරින් ශ්‍රී ලංකා මහ බැංකුවේ අධිපති තනතුරේ නොසිටියේ කවුද?,ජෝන් එක්ස්ටර්,වර්ණසේන රාසපුත්‍රම්,"එන් යූ, ජයවර්ධන",උපාලි විජේවර්ධන,3,7,
පහත ස්ථාන අතරින් පොළොන්නරුව ගල් විනරයේ සැතපෙන බුද්ධ ප්‍රතිමාවට වඩාත්ම සමානකම් පෙන්වන පාෂාණ මූර්තියක් දැකිය හැක්කේ කොතැනින්ද?,තන්තිරිමලේ,තොළුවිල,බුදුරුවගල,මාලිගාවිල,0,8,
සූවස් ඇළ සම්බන්ධව මේ අතරින් වැරදි පිළිතුර කුමක්ද?,එය මධ්‍යධරණී මුහුද සහ රතු මුහුද සම්බන්ධ කරයි,එය ආසියානු සහ අප්‍රිකානු මහාද්වීප වෙන් කරයි,එය ඊජිප්තුව සහ ඊශ්‍රායලය අතර පිහිටා ඇත,Great Bitter Lake සූවස් ඇළ දිගේ පිහිටා ඇත,2,9,
මේ අතරින් ශාකභක්ෂක ඩයිනෝසෝරයා යනු කුමක්ද?,ඇපටෝසෝරස්,ටී-රෙක්ස්,ස්පයිනෝසෝරස්,ඇල්බර්ටෝසෝරස්,0,10,
"2020 වන විට, ලයනල් මෙසී පිළිබඳ මෙම ප්‍රකාශවලින් අසත්‍ය වන්නේ කුමක්ද?",ඔහු ඔලිම්පික් පදක්කමක් දිනා ඇත,ඔහු 6 වතාවක් Ballon d'Or කුසලානය ලබා ගත් අයෙකි,ඔහු යුරෝපීය ගෝල්ඩන් බූට් 6 වරක් ලබා ඇත,ඔහු FIFA ගෝල්ඩන් බෝල් සම්මානය 4 වතාවක් ලබා ගත් අයෙකි,3,11,
මේ අතරින් දකුණු අප්‍රිකාවේ නිල අගනුවර නොවන නගරය කුමක්ද?,ප්රිටෝරියා,ජොහැන්නස්බර්ග්,බ්ලූම්ෆොන්ටයින්,කේප් ටවුන්,1,12,
මේ අතරින් එක්සත් ජාතීන්ගේ ජාත්‍යන්තර අධිකරණයේ උප සභාපතිවරයා ලෙස කටයුතු කළේ කවුද?,සරත් ගුණපාල,මොහාන් මුනසිංහ,ක්‍රිස්ටෝපර් වීරමන්ත්‍රී,රංග ඩයස්,2,13,
පහත චිත්‍රපට අතුරින් ජොනී ඩෙප් සිය රංගනයෙන් දායක නොවූ චිත්‍රපට මොනවාද?,Sweeney Todd,Charlie and the Chocolate Factory,Finding Neverland,The Mask,3,13,
Jeff Bezos සතු Blue Origin සමාගම විසින් දියත් කරන ලද New Shepard 4 රොකට්ටුවේ මූලික විමෝචනය කුමක්ද?,කාබන් මොනොක්සයිඩ්,ඔක්සිජන්,කාබන් ඩයොක්සයිඩ්,ජලය,3,14,
ලංකා සමසමාජ පක්ෂයේ මැතිවරණ ලකුණ කුමක්ද?,තරුවක්,යතුරක්,මේසයක්,දෑකැත්තක්,1,15,
"සම්ප්‍රදායට අනුව, රජුගෙන් ප්‍රවෘත්ති ප්‍රචාරය කිරීමේදී පණිවිඩකරුවෙකු රැගෙන යන්නේ කුමන ආකාරයේ බෙරයක්ද?","""ගැට බෙරය""","""දවුල""","""යක් බරය""","""රබාන""",1,1,
කල් තබා ගැනීමේ ක්‍රමයක් ලෙස ලුණු භාවිතා කරන විට ආහාර පාලනය කරන්නේ කුමන අංශයද?,උෂ්ණත්වය,ජල මට්ටම,ආම්ලිකතාවය,වාතයට නිරාවරණය වීම,1,2,
මෙම රෙදි වර්ග අතරින් ජලය වඩාත් පහසුවෙන් අවශෝෂණය කරන්නේ කුමන රෙදි වර්ගයද?,කපු රෙදි,සැටින් රෙදි,නයිලෝන් රෙදි,පොලියෙස්ටර් රෙදි,0,3,
කොළඹ වරාය නගරය පාලනය වන්නේ මේවායින් කුමන යටතේද?,අධිකාරියක් යටතේ,දෙපාර්තමේන්තුවක් යටතේ,සංස්ථාවක් යටතේ,කොමිෂන් සභාවක් යටතේ,3,4,
මේ අතරින් විමල් උදය හපුගොඩආරච්චිගේ සිතේ උපන් චරිතය කුමක්ද?,කෙටි හාමි,රම්බා,නාම්බු හෙනයා,මුතුහාරා,1,5,
මේ අතරින් කොමියුනිස්ට් රටක් නොවන්නේ කුමක්ද?,වියට්නාමය,උතුරු කොරියාව,ලාඕසය,රුසියාව,3,6,
ඉලක්කම් සම්බන්ධයෙන් වැරදි ප්‍රකාශය කුමක්ද?,ඔත්තේ සංඛ්‍යා දෙකක් එකතු කිරීමෙන් ඉරට්ටේ සංඛ්‍යාවක් ලැබේ,ඔත්තේ සහ ඉරට්ටේ සංඛ්‍යාවක් එකතු කිරීමෙන් ඔත්තේ සංඛ්‍යාවක් ලැබේ,ඉරට්ටේ සංඛ්‍යා දෙකක් එකතු කිරීමෙන් ඔත්තේ සංඛ්‍යාවක් ලැබේ,ඉරට්ටේ අංක දෙකක් එකතු කිරීමෙන් ඉරට්ටේ අංකයක් ලැබේ,2,1,
"මන්දාරමට උඩ ඉගිලෙන වැහි ලෙනි - ගොනුගේ පිටට දම්ම වනි බර ගෝනි. මෙහි ""මන්දාරාම"" යන්නෙන් අදහස් කරන්නේ කුමක්ද?",වැසිබර අහසක්,හිරු බැස යන සන්ධ්‍යාවක්,සඳ පායන අහසක්,මෝසම් වර්ෂාපතනයක්,0,2,
පහත සඳහන් කරුණු අතරින් කෙනෙකුගේ උප්පැන්න සහතිකයේ දක්නට නොලැබෙන දෙයක් කුමක්ද?,උපන් ස්ථානය,පියාගේ සම්පූර්ණ නම,ආගම,මවගේ සම්පූර්ණ නම,2,3,
විනිසුරුවරයා තම අත් දෙකම හිසට ඉහළින් ඔසවන විට සංඥා කරන්නේ කුමක්ද?,හයේ පහරක්,හතරේ පහරක්,දැවී යාමක්,නිපන්දුවක්,0,4,
කණාමැදිරියා පිළිබඳ වැරදි ප්‍රකාශය කුමක්ද?,කෘමියෙකි,උගේ සිරුර රතු පාටයි,නිශාචර ය,සම්පූර්ණයෙන්ම වැඩුණු විට පියාපත් ඇත,1,5,
කහ පැහැති වීදුරු බේසමකට තඹ සල්ෆේට් තනුක කළ ජලය පැත්තකින් බැලුවහොත් එය කුමන වර්ණයක් වේද?,කහ,දුඹුරු,නිල්,කොළ,3,6,
රුහුණු මහා කතරගම දේවාලය පිහිටා ඇත්තේ:,අම්පාර දිස්ත්‍රික්කය,මොනරාගල දිස්ත්‍රික්කය,හම්බන්තොට දිස්ත්‍රික්කය,මාතර දිස්ත්‍රික්කය,1,7,
වැරදි ප්රකාශය තෝරන්න,බණ්ඩා ඒස් - ඉන්දුනීසියාව,චැංගි - සිංගප්පූරුව,නරීටා - දකුණු කොරියාව,සුවර්ණභුමි - තායිලන්තය,2,8,
"නිල්, රතු සහ සුදු යන වර්ණයන්ගෙන් සම්මුතියක් ඇති කොඩියක් සහිත රටක මේවායින් කුමක් නොවේද?",ඕස්ට්රේලියාව,නේපාලය,තායිලන්තය,ඉතාලිය,3,9,
මේ අතරින් වික්ටර් රත්නායක ගැයූ චිත්‍රපට ගීතයක් නොවන්නේ කුමක්ද?,අඳුරු බැඳින්නට රැයක් දවාලු,නීල බිඟු කැල,ආදරයේ උල්පත වූ අම්මා,කොහෙ සිට ඔබ,2,10,
මේ අතරින් මහා බ්‍රිතාන්‍යයේ යටත් විජිතයක් ලෙස නොපැවැත්වූ රට කුමක්ද?,ඊජිප්තුව,කැනඩාව,කෙන්යාව,ස්වීඩනය,3,11,
"""වනේ දමාලා පොතුවේ ලාලා මහබිම්මලටයි වී ගන්නේ - දෑත බදාලා මෝල් ගසාලා පිල්ලෙන් පොතු අරවා ගන්නේ"" මෙහි ""වනේ"" යනුවෙන් හැඳින්වෙන්නේ කුමක්ද?","""නෑඹිලිය""","""වංගෙඩිය""","""කුල්ල""","""කොරහ""",1,1,
